epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,7241.55,1.23856,0.59484,0.8524,0.73942,0.6047,0.64136,0.34383,1.3012,0.5976,0.85042,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7357.66,1.24009,0.59521,0.85333,0.74017,0.60365,0.63996,0.34434,1.30089,0.59888,0.84849,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7473.25,1.22967,0.58963,0.85077,0.74374,0.60156,0.6401,0.3436,1.30234,0.59924,0.84963,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7588.3,1.22233,0.58702,0.85199,0.74705,0.60057,0.63904,0.34388,1.3006,0.5987,0.84912,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7703.39,1.2341,0.59071,0.84947,0.74552,0.60185,0.63977,0.34395,1.29923,0.59842,0.84871,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7819.61,1.22852,0.58488,0.8489,0.7446,0.60412,0.6413,0.3447,1.29936,0.59709,0.84889,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7936.09,1.22341,0.58349,0.8499,0.75261,0.60113,0.64242,0.34533,1.30009,0.59745,0.84912,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8052.63,1.21951,0.58067,0.8502,0.74419,0.60317,0.63963,0.34429,1.30094,0.59698,0.84917,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8168.33,1.21835,0.57976,0.84967,0.74599,0.6022,0.63909,0.34382,1.30237,0.5965,0.84938,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8283.79,1.22121,0.58076,0.84941,0.74818,0.60202,0.6411,0.34547,1.29931,0.59588,0.84877,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8399.64,1.21535,0.57829,0.8485,0.74697,0.60518,0.64293,0.34583,1.29607,0.59358,0.84845,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8515.19,1.21252,0.57448,0.84562,0.74443,0.6061,0.64207,0.34596,1.29572,0.59355,0.84909,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
